user_id,item_id
u30,i02
u30,i07
u30,i09
u30,i05
u30,i14
u31,i18
u31,i04
u31,i11
u31,i00
u31,i08
u31,i14
u31,i06
u31,i01
u31,i03
u31,i02
u31,i16
u31,i15
u31,i07
u31,i05
u31,i17
u32,i03
u32,i08
u32,i00
u32,i09
u32,i04
u32,i15
u32,i06
u32,i02
u32,i07
u32,i10
u32,i13
u32,i05
u32,i14
u32,i11
u32,i01
u33,i00
u33,i06
u33,i15
u33,i09
u33,i02
u33,i13
u33,i08
u33,i18
u33,i04
u33,i07
u33,i01
u33,i17
u33,i05
u33,i14
u33,i12
u33,i03
u34,i01
u34,i15
u34,i14
u34,i06
u34,i04
u34,i03
u34,i11
u34,i07
u34,i08
u34,i00
u34,i02
u34,i05
u35,i00
u35,i06
u35,i07
u35,i13
u35,i05
u35,i02
u35,i01
u35,i09
u35,i12
u35,i14
u35,i04
u35,i10
u35,i15
u35,i03
u35,i18
u35,i11
u36,i05
u36,i02
u36,i03
u36,i01
u36,i07
u36,i14
u36,i11
u36,i10
u36,i00
u36,i04
u36,i09
u36,i16
u36,i08
u36,i12
u36,i15
u36,i06
u36,i13
u36,i17
u37,i03
u37,i00
u37,i11
u37,i09
u37,i01
u37,i08
u37,i04
u37,i06
u37,i07
u37,i10
u37,i13
u37,i12
u37,i05
u37,i15
u37,i02
u37,i14
u37,i19
u37,i16
u38,i05
u38,i12
u38,i01
u38,i00
u38,i13
u38,i08
u38,i06
u38,i09
u38,i11
u38,i03
u38,i04
u38,i07
u38,i10
u38,i02
u38,i14
u38,i17
u38,i15
u38,i19
u39,i07
u39,i08
u39,i05
u39,i09
u39,i11
u39,i02
u39,i01
u39,i13
u39,i03
u39,i06
u39,i10
u39,i12
u39,i04
u39,i17
u39,i15
u39,i00
u39,i19
u40,i02
u40,i15
u40,i12
u40,i08
u40,i05
u40,i07
u40,i06
u40,i11
u40,i00
u40,i09
u40,i13
u40,i03
u40,i04
u40,i10
u40,i01
u41,i15
u41,i08
u41,i00
u41,i09
u41,i04
u41,i11
u41,i02
u41,i10
u41,i05
u41,i01
u42,i05
u42,i07
u42,i10
u42,i04
u42,i00
u42,i15
u42,i03
u42,i14
u42,i01
u42,i11
u42,i18
u42,i02
u43,i06
u43,i02
u43,i16
u43,i07
u43,i05
u43,i08
u43,i14
u43,i03
u43,i00
u43,i11
u43,i01
u43,i13
u43,i12
u43,i04
u43,i09
u43,i18
u43,i10
u43,i19
u44,i04
u44,i11
u44,i19
u44,i10
u44,i08
u44,i01
u44,i12
u44,i09
u44,i07
u44,i00
u44,i06
u44,i14
u44,i02
u44,i03
u44,i05
u45,i16
u45,i02
u45,i08
u45,i00
u45,i07
u45,i04
u45,i10
u45,i18
u45,i05
u45,i01
u45,i03
u45,i06
u46,i01
u46,i02
u46,i07
u46,i17
u46,i08
u46,i06
u46,i10
u46,i16
u46,i00
u46,i09
u46,i11
u46,i04
u46,i05
u46,i14
u46,i13
u46,i18
u47,i16
u47,i07
u47,i14
u47,i08
u47,i11
u47,i12
u47,i05
u47,i15
u47,i02
u47,i10
u48,i02
u48,i00
u48,i12
u48,i08
u48,i04
u48,i11
u48,i09
u48,i13
u48,i15
u48,i16
u48,i05
u48,i06
u48,i14
u48,i17
u49,i00
u49,i04
u49,i15
u49,i14
u49,i02
u49,i08
u49,i17
u49,i05
u49,i01
u49,i07
u49,i03
u50,i13
u50,i14
u50,i03
u50,i15
u50,i11
u50,i05
u50,i02
u50,i04
u50,i18
u50,i09
u50,i00
u50,i08
u50,i01
u50,i10
u51,i12
u51,i06
u51,i03
u51,i04
u51,i05
u51,i14
u51,i09
u51,i01
u51,i02
u51,i13
u51,i11
u51,i10
u51,i07
u51,i00
u51,i18
u52,i18
u52,i02
u52,i01
u52,i05
u52,i00
u52,i08
u52,i10
u52,i15
u52,i06
u52,i09
u52,i11
u52,i04
u52,i07
u52,i03
u52,i13
u52,i17
u52,i14
u53,i04
u53,i00
u53,i09
u53,i07
u53,i11
u53,i10
u53,i17
u53,i01
u53,i03
u53,i02
u53,i08
u53,i13
u53,i05
u53,i16
u53,i14
u54,i08
u54,i03
u54,i09
u54,i17
u54,i15
u54,i00
u54,i01
u54,i05
u54,i14
u54,i06
u54,i13
u54,i11
u54,i04
u54,i02
u55,i03
u55,i02
u55,i05
u55,i12
u55,i00
u55,i07
u55,i01
u55,i09
u55,i10
u55,i04
u55,i06
u55,i08
u56,i11
u56,i06
u56,i09
u56,i10
u56,i00
u56,i07
u56,i12
u56,i05
u56,i04
u56,i13
u57,i09
u57,i01
u57,i08
u57,i03
u57,i13
u57,i07
u57,i00
u57,i10
u57,i05
u57,i12
u57,i02
u58,i01
u58,i03
u58,i13
u58,i07
u58,i18
u58,i02
u58,i08
u58,i06
u58,i19
u58,i00
u58,i12
u58,i10
u59,i09
u59,i01
u59,i18
u59,i00
u59,i02
u59,i05
u59,i16
u59,i08
u59,i13
u59,i15
u59,i11
u59,i10
u59,i07
u59,i04
u59,i03
u59,i12
u59,i14
u60,i11
u60,i06
u60,i16
u60,i04
u60,i02
u60,i08
u60,i18
u60,i05
u60,i01
u60,i03
u60,i13
u60,i09
u60,i10
u60,i00
u60,i15
